customer_id,customer_name,gender,age,email,phone,city,join_date,total_orders,total_spent,first_order_date,last_order_date,avg_rating,segment
CUST00001,Pallavi Desai,Female,34,pallavi.desai548@gmail.com,9627657449,Bhopal,2023-06-10,8,11016.71,2024-04-21,2024-11-27,3.8,Silver
CUST00002,Amit Mehta,Female,19,amit.mehta377@yahoo.com,9591177894,Jaipur,2023-01-19,7,10690.84,2024-02-26,2024-09-12,3.2,Silver
CUST00003,Aditya Sinha,Female,52,aditya.sinha50@gmail.com,9152043253,Nagpur,2023-08-18,3,8246.42,2024-01-20,2024-12-28,4.3,Silver
CUST00004,Pallavi Sinha,Male,57,pallavi.sinha283@gmail.com,9773468629,Mumbai,2023-03-24,5,32220.9,2024-01-05,2024-12-20,3.7,Gold
CUST00005,Nisha Agarwal,Male,44,nisha.agarwal16@gmail.com,9488052841,Pune,2023-02-14,4,4832.94,2024-03-09,2024-12-09,4.5,Bronze
CUST00006,Aarav Sharma,Male,25,aarav.sharma474@gmail.com,9730836833,Coimbatore,2023-03-22,7,45612.48,2024-04-19,2024-12-03,4.8,Gold
CUST00007,Bhavna Menon,Female,43,bhavna.menon550@gmail.com,9287106740,Bhopal,2023-02-26,4,26347.66,2024-09-13,2024-12-19,4.3,Gold
CUST00008,Sonal Chopra,Male,45,sonal.chopra242@gmail.com,9792773098,Chennai,2023-01-21,5,8227.88,2024-01-16,2024-12-11,4.0,Silver
CUST00009,Aishwarya Desai,Male,45,aishwarya.desai105@gmail.com,9949985496,Pune,2023-01-03,8,108384.71,2024-03-14,2024-10-06,4.0,Platinum
CUST00010,Neha Agarwal,Male,58,neha.agarwal243@gmail.com,9995028966,Lucknow,2023-05-21,6,97757.07,2024-02-24,2024-12-28,4.3,Platinum
CUST00011,Amit Malhotra,Female,49,amit.malhotra176@yahoo.com,9972753223,Kolkata,2023-07-15,2,16228.4,2024-07-18,2024-07-20,4.0,Silver
CUST00012,Sanjay Yadav,Male,38,sanjay.yadav123@gmail.com,9117102863,Surat,2023-10-15,8,21991.23,2024-02-05,2024-12-22,4.4,Gold
CUST00013,Pooja Yadav,Female,31,pooja.yadav196@gmail.com,9795964559,Bhopal,2023-05-22,5,2021.31,2024-01-21,2024-11-16,4.0,Bronze
CUST00014,Meera Jain,Male,46,meera.jain936@gmail.com,9751216031,Surat,2023-06-09,12,99675.73,2024-01-15,2024-12-26,4.3,Platinum
CUST00015,Manoj Patel,Male,26,manoj.patel203@gmail.com,9280663488,Pune,2023-02-14,4,7577.09,2024-04-06,2024-12-21,4.5,Bronze
CUST00016,Swati Chauhan,Female,28,swati.chauhan459@gmail.com,9976220200,Surat,2023-05-06,3,18082.85,2024-04-23,2024-12-18,4.5,Silver
